epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,6964.46,1.10054,0.59278,1.20046,0.9976,1,0.99499,0.7351,1.057,0.36839,1.2035,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,7085.44,1.1008,0.58837,1.19374,0.99861,1,0.99498,0.73863,1.04195,0.3641,1.19197,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,7205.46,1.09286,0.58577,1.19195,0.99886,0.99977,0.99495,0.7428,1.061,0.36991,1.20521,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,7326.11,1.09696,0.57795,1.19975,0.99874,1,0.99491,0.73943,1.07128,0.36906,1.21569,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,7445.88,1.09053,0.57244,1.19227,0.99886,0.99976,0.99498,0.74618,1.05309,0.36641,1.20147,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,7565.69,1.09244,0.58169,1.19078,0.99875,0.99886,0.99498,0.74448,1.05288,0.36726,1.20318,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,7685.54,1.08649,0.57581,1.18908,0.99876,1,0.99494,0.74467,1.04953,0.36297,1.19969,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,7805.85,1.0858,0.5711,1.18865,0.99886,0.99993,0.99498,0.75136,1.01447,0.35847,1.18145,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,7925.66,1.08729,0.57394,1.19196,0.99886,0.99989,0.99498,0.75358,1.01492,0.36093,1.1787,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,8045.39,1.08296,0.566,1.1871,0.99853,1,0.99498,0.74933,1.02235,0.35911,1.1866,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,8165.22,1.07814,0.56289,1.18945,0.99847,1,0.99497,0.74826,1.03268,0.35889,1.19327,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,8284.93,1.06917,0.55948,1.18073,0.99853,1,0.9949,0.74825,1.0376,0.35936,1.19726,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,8404.51,1.07675,0.56232,1.18606,0.99846,1,0.99489,0.74847,1.0292,0.35723,1.18973,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,8524.8,1.07116,0.55415,1.18106,0.99833,1,0.99485,0.74954,1.02398,0.3542,1.18892,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,8644.55,1.06891,0.55897,1.17733,0.99886,0.99983,0.99485,0.74973,1.015,0.35275,1.18512,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,8764.73,1.07531,0.54777,1.1834,0.99886,1,0.99493,0.75006,1.01305,0.35055,1.18266,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,8885.27,1.07252,0.54519,1.18244,0.99876,1,0.99494,0.75146,1.01246,0.35275,1.18167,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,9006.04,1.06205,0.54494,1.17736,0.99884,1,0.99492,0.7495,1.00791,0.3528,1.18064,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,9125.87,1.05846,0.54171,1.17499,0.99743,1,0.99485,0.75013,1.00912,0.35335,1.17875,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,9246.18,1.05619,0.53959,1.17139,0.99744,1,0.99487,0.75014,1.0051,0.35132,1.1741,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,9365.94,1.05667,0.5467,1.1742,0.99886,0.9996,0.99493,0.74747,1.01085,0.35221,1.17611,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,9486.15,1.0584,0.54312,1.17975,0.99886,0.99992,0.99497,0.75046,1.00961,0.35539,1.17754,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,9608.1,1.04678,0.53781,1.16462,0.99886,0.99999,0.99497,0.74979,1.01429,0.35648,1.17876,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,9747.83,0.99247,0.46196,1.19711,0.99872,1,0.99499,0.74842,1.01637,0.359,1.18039,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,9882.3,0.97329,0.44348,1.18111,0.9988,1,0.995,0.75022,1.00574,0.35852,1.17483,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,10001.6,0.96988,0.4261,1.18047,0.99886,1,0.995,0.74995,1.00524,0.36018,1.17317,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
84,10120.5,0.9704,0.42053,1.18542,0.9988,1,0.995,0.7536,1.00255,0.3596,1.17164,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
85,10238.8,0.96437,0.41481,1.1783,0.99884,1,0.99499,0.75272,1.00835,0.35944,1.17551,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,10356.6,0.96129,0.40977,1.17409,0.99886,0.99998,0.99499,0.75302,1.01432,0.35943,1.17968,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,10474.2,0.95822,0.40958,1.18157,0.99886,0.99998,0.99499,0.75134,1.02011,0.3607,1.18312,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
88,10591.9,0.95763,0.40137,1.17889,0.99886,0.99999,0.99498,0.75196,1.02272,0.36082,1.1848,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,10709.6,0.95457,0.39897,1.17991,0.99886,1,0.99498,0.75219,1.02406,0.36022,1.18669,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,10827.2,0.95013,0.39815,1.17551,0.99883,1,0.99498,0.75187,1.0245,0.35906,1.18691,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
91,10944.7,0.94965,0.39192,1.17409,0.99883,1,0.99498,0.75213,1.02391,0.35771,1.18658,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,11062.8,0.95169,0.39368,1.17324,0.99881,1,0.99498,0.7515,1.02314,0.35793,1.18633,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
93,11181,0.94736,0.39378,1.17344,0.9988,1,0.99498,0.75214,1.0227,0.35803,1.18624,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
94,11299,0.94893,0.39095,1.17049,0.9988,1,0.99498,0.75203,1.02283,0.35815,1.18628,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
95,11418.3,0.9456,0.387,1.16798,0.9988,1,0.99498,0.7522,1.02384,0.35831,1.18697,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
96,11536.3,0.94815,0.39015,1.1711,0.9988,1,0.99498,0.75229,1.02441,0.35769,1.18733,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
97,11654.6,0.94449,0.3884,1.17047,0.9988,1,0.99498,0.7532,1.02429,0.35678,1.18745,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
98,11772.3,0.93979,0.38544,1.16606,0.9988,1,0.99498,0.75267,1.02418,0.3564,1.18745,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968
99,11890.1,0.94104,0.386,1.1675,0.9988,1,0.99498,0.75212,1.02401,0.356,1.18753,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
100,12008.7,0.94613,0.38492,1.17439,0.9988,1,0.99498,0.75239,1.02375,0.35588,1.18748,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443
