epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,2868.15,0.87049,0.39305,0.86291,0.97263,0.99808,0.98712,0.75921,0.90197,0.36912,0.86096,0.000551337,0.000551337,0.000551337
100,2897.13,0.87528,0.39187,0.86487,0.97261,0.99808,0.98797,0.7762,0.85121,0.35595,0.85215,0.000533064,0.000533064,0.000533064
101,2926.27,0.80283,0.33425,0.84833,0.97272,0.99808,0.98636,0.76654,0.85003,0.35978,0.84916,0.000515,0.000515,0.000515
102,2955.08,0.80798,0.3368,0.84948,0.97282,0.99887,0.98422,0.76656,0.88287,0.36759,0.8564,0.000497153,0.000497153,0.000497153
103,2983.9,0.79783,0.3307,0.84834,0.97355,0.99711,0.98494,0.75006,0.92099,0.37531,0.86084,0.000479531,0.000479531,0.000479531
104,3012.71,0.78747,0.32924,0.84074,0.97282,0.9989,0.98545,0.77043,0.87248,0.36158,0.85401,0.000462142,0.000462142,0.000462142
105,3041.54,0.79887,0.32553,0.84782,0.97276,0.99904,0.98595,0.7534,0.91251,0.37204,0.86,0.000444994,0.000444994,0.000444994
106,3070.39,0.79018,0.32439,0.8461,0.97265,0.99904,0.98426,0.76347,0.86769,0.35844,0.85216,0.000428093,0.000428093,0.000428093
107,3099.22,0.77648,0.32132,0.84278,0.97267,0.99904,0.98561,0.77146,0.86432,0.35308,0.85306,0.000411447,0.000411447,0.000411447
108,3128.06,0.78391,0.32205,0.84657,0.97264,0.99904,0.98521,0.76645,0.89586,0.36097,0.85728,0.000395064,0.000395064,0.000395064
109,3156.93,0.78037,0.31843,0.84352,0.97268,0.99904,0.98648,0.77173,0.87529,0.35432,0.85489,0.00037895,0.00037895,0.00037895
110,3185.83,0.77501,0.3203,0.84537,0.97263,0.99904,0.98611,0.78188,0.84315,0.34754,0.84922,0.000363114,0.000363114,0.000363114
111,3214.73,0.76906,0.32136,0.84059,0.97262,0.99904,0.98676,0.78092,0.85097,0.34926,0.8496,0.000347561,0.000347561,0.000347561
112,3243.59,0.76761,0.31671,0.83866,0.97181,0.99904,0.98666,0.77168,0.87463,0.35346,0.85329,0.000332298,0.000332298,0.000332298
113,3272.45,0.76731,0.31445,0.84053,0.97282,0.99886,0.98652,0.77943,0.84682,0.34639,0.84891,0.000317333,0.000317333,0.000317333
114,3301.32,0.76922,0.31548,0.84227,0.97191,0.99904,0.98583,0.77084,0.87578,0.35299,0.85496,0.000302672,0.000302672,0.000302672
115,3330.15,0.7645,0.31357,0.84132,0.97182,0.99904,0.98627,0.77631,0.85945,0.34771,0.85188,0.000288321,0.000288321,0.000288321
116,3358.98,0.7634,0.31303,0.8445,0.97181,0.99904,0.98578,0.77488,0.87435,0.35153,0.85425,0.000274287,0.000274287,0.000274287
117,3387.8,0.75397,0.30799,0.83507,0.97183,0.99904,0.98611,0.78055,0.84535,0.34442,0.8496,0.000260575,0.000260575,0.000260575
118,3416.62,0.75444,0.30771,0.84237,0.97191,0.99904,0.98585,0.77426,0.87133,0.34861,0.85504,0.000247192,0.000247192,0.000247192
119,3445.44,0.75104,0.30744,0.83767,0.97174,0.99904,0.98501,0.77976,0.84009,0.34115,0.84828,0.000234143,0.000234143,0.000234143
120,3474.27,0.75071,0.30414,0.83911,0.97176,0.99904,0.98543,0.77927,0.84739,0.34173,0.84987,0.000221435,0.000221435,0.000221435
121,3503.11,0.74636,0.30546,0.83859,0.97184,0.99904,0.98689,0.7782,0.85096,0.3449,0.85044,0.000209073,0.000209073,0.000209073
122,3531.93,0.74324,0.30261,0.83613,0.9718,0.99904,0.98686,0.7839,0.84262,0.34098,0.8483,0.000197062,0.000197062,0.000197062
123,3560.75,0.75293,0.30629,0.83892,0.9718,0.99904,0.9868,0.78226,0.8382,0.33701,0.84838,0.000185408,0.000185408,0.000185408
124,3589.56,0.74629,0.30433,0.83851,0.97181,0.99904,0.98643,0.78172,0.83793,0.33607,0.84848,0.000174115,0.000174115,0.000174115
125,3618.38,0.74809,0.30513,0.83615,0.97183,0.99904,0.98633,0.78261,0.83924,0.34042,0.84848,0.000163189,0.000163189,0.000163189
126,3647.18,0.7423,0.30121,0.83176,0.97184,0.99904,0.98675,0.77663,0.85294,0.3431,0.85057,0.000152635,0.000152635,0.000152635
127,3676.03,0.74061,0.29934,0.83234,0.97178,0.99904,0.98634,0.77944,0.85002,0.34343,0.85006,0.000142456,0.000142456,0.000142456
128,3704.84,0.74753,0.30257,0.8412,0.97177,0.99904,0.98637,0.78368,0.84158,0.33791,0.84888,0.000132658,0.000132658,0.000132658
129,3733.66,0.74402,0.30068,0.83325,0.97177,0.99904,0.98658,0.78114,0.83932,0.3382,0.84879,0.000123245,0.000123245,0.000123245
130,3762.48,0.74036,0.30331,0.8342,0.9737,0.9978,0.98725,0.78491,0.83953,0.33723,0.84902,0.000114221,0.000114221,0.000114221
131,3791.3,0.7361,0.29887,0.83634,0.97372,0.99866,0.98639,0.78337,0.83849,0.33562,0.84889,0.00010559,0.00010559,0.00010559
132,3820.13,0.73934,0.30042,0.83345,0.97316,0.99904,0.98657,0.7795,0.84787,0.33709,0.85098,9.73555e-05,9.73555e-05,9.73555e-05
