epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,22286.7,0.73473,0.40052,0.92758,0.95315,0.97147,0.98569,0.86164,0.59273,0.29951,0.84757,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
67,22623.7,0.73444,0.40095,0.92929,0.95336,0.97149,0.98566,0.86186,0.59235,0.29899,0.84741,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
68,22960.5,0.73373,0.39836,0.92928,0.95296,0.97193,0.98566,0.86172,0.59202,0.29881,0.84729,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,23297.5,0.73055,0.39565,0.92796,0.95236,0.97255,0.98561,0.86201,0.59196,0.2986,0.84716,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
70,23634.4,0.72944,0.39772,0.92738,0.95251,0.97217,0.98567,0.86242,0.5916,0.29827,0.84694,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
71,23971.3,0.7293,0.39523,0.92718,0.95231,0.97217,0.98573,0.86268,0.59149,0.298,0.84683,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
72,24308.2,0.72655,0.39347,0.92538,0.95074,0.97398,0.98573,0.86276,0.59126,0.29767,0.84664,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421
73,24645.1,0.73126,0.39438,0.92744,0.95141,0.9733,0.98577,0.86318,0.59105,0.29731,0.84647,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
74,24982,0.72335,0.39091,0.92392,0.95169,0.9733,0.98581,0.86325,0.59082,0.29699,0.84627,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728
75,25319.2,0.72172,0.39052,0.92271,0.95177,0.97349,0.98584,0.86352,0.59051,0.29657,0.84613,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366
76,25656.2,0.72218,0.39079,0.92602,0.95133,0.97311,0.98582,0.8636,0.59017,0.29632,0.846,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,25993,0.71813,0.39034,0.92335,0.95155,0.97334,0.98574,0.86386,0.58993,0.29608,0.84583,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634
78,26330,0.71498,0.38745,0.91895,0.95141,0.97307,0.98583,0.8644,0.58983,0.29565,0.84568,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272
79,26666.9,0.71528,0.38784,0.92156,0.95153,0.9733,0.98582,0.86449,0.58964,0.29556,0.84558,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
80,27003.5,0.71776,0.38775,0.92468,0.95258,0.97282,0.98586,0.86452,0.58947,0.29535,0.84548,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579
81,27340.4,0.71358,0.38501,0.92123,0.95248,0.97307,0.98585,0.86464,0.5893,0.29516,0.84532,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
82,27677.5,0.71106,0.38342,0.92066,0.95245,0.9733,0.98576,0.86471,0.58909,0.29513,0.84516,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
83,28014.5,0.71292,0.38161,0.92007,0.95283,0.97284,0.98582,0.86465,0.58892,0.29467,0.84502,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689
84,28351.4,0.71163,0.38265,0.92104,0.95279,0.97271,0.98587,0.86484,0.5887,0.29422,0.84482,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449
85,28688.2,0.70789,0.38031,0.91889,0.95361,0.97227,0.98588,0.86504,0.58848,0.29408,0.8446,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
86,29024.9,0.70494,0.37742,0.91778,0.95444,0.97178,0.98584,0.86521,0.58836,0.2939,0.84443,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
87,29361.8,0.70486,0.37698,0.91932,0.95465,0.97184,0.98589,0.86563,0.58834,0.29363,0.84434,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966
88,29698.8,0.7032,0.37553,0.91758,0.95454,0.97239,0.98595,0.86572,0.58823,0.29335,0.84424,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
