epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2581.94,1.02317,0.35769,0.00244,0.96283,0.99326,0.98242,0.72818,1.03676,0.29215,0.00246,0.00113408,0.00113408,0.00113408
71,2618.69,1.03381,0.38172,0.0025,0.96424,0.98608,0.98226,0.75473,0.95202,0.27997,0.0022,0.00111348,0.00111348,0.00111348
72,2655.48,1.02804,0.36957,0.00241,0.96767,0.99519,0.98458,0.74197,1.00197,0.27604,0.00241,0.00109284,0.00109284,0.00109284
73,2692.25,1.01895,0.37134,0.00241,0.96479,0.98941,0.98486,0.75592,0.97826,0.27876,0.00225,0.00107216,0.00107216,0.00107216
74,2729.01,1.02309,0.35717,0.00244,0.96833,0.98941,0.98727,0.74154,1.03471,0.2884,0.00245,0.00105146,0.00105146,0.00105146
75,2765.81,1.02439,0.36954,0.00241,0.97169,0.99097,0.9866,0.7179,1.08968,0.30105,0.00264,0.00103073,0.00103073,0.00103073
76,2802.57,1.03411,0.36475,0.00244,0.9639,0.99134,0.98408,0.75374,0.98327,0.28012,0.00231,0.00101,0.00101,0.00101
77,2839.36,1.02545,0.3625,0.00237,0.97256,0.98924,0.97997,0.76813,0.92218,0.26903,0.0021,0.000989267,0.000989267,0.000989267
78,2876.17,1.03427,0.36724,0.00245,0.96818,0.9923,0.98217,0.75288,0.98273,0.27986,0.0023,0.000968543,0.000968543,0.000968543
79,2912.89,1.01733,0.36261,0.00238,0.97326,0.99038,0.98695,0.7632,0.95844,0.26897,0.00222,0.000947837,0.000947837,0.000947837
80,2949.66,1.00829,0.34789,0.00237,0.96852,0.98845,0.9853,0.75811,0.96469,0.28268,0.00223,0.000927159,0.000927159,0.000927159
81,2986.46,1.01451,0.35506,0.00237,0.96762,0.99423,0.9835,0.7408,1.00375,0.28097,0.00236,0.000906517,0.000906517,0.000906517
82,3023.2,1.00042,0.35154,0.00239,0.96902,0.99337,0.98398,0.76714,0.94697,0.27776,0.00217,0.00088592,0.00088592,0.00088592
83,3059.95,1.01095,0.34966,0.00234,0.96409,0.99423,0.98296,0.76101,0.94456,0.27208,0.00218,0.000865378,0.000865378,0.000865378
84,3096.73,1.00146,0.35121,0.00237,0.96984,0.99043,0.98406,0.77123,0.93233,0.27122,0.00216,0.000844899,0.000844899,0.000844899
85,3133.55,0.99135,0.34699,0.00231,0.96985,0.99068,0.98444,0.77222,0.93244,0.27189,0.00213,0.000824492,0.000824492,0.000824492
86,3170.31,0.99479,0.34933,0.00235,0.96808,0.99231,0.9828,0.75688,0.957,0.2751,0.00222,0.000804167,0.000804167,0.000804167
87,3207.06,0.99325,0.34435,0.00234,0.97072,0.99038,0.98409,0.74865,0.99492,0.28038,0.0023,0.000783933,0.000783933,0.000783933
88,3243.81,0.98985,0.33935,0.00232,0.96184,0.99464,0.98297,0.75413,0.97841,0.27661,0.00229,0.000763797,0.000763797,0.000763797
89,3280.58,0.99686,0.34312,0.00235,0.97113,0.98941,0.98195,0.75249,0.98733,0.27423,0.00229,0.000743769,0.000743769,0.000743769
90,3317.35,0.9848,0.34435,0.0023,0.96996,0.9946,0.9847,0.76739,0.93446,0.26866,0.00216,0.000723859,0.000723859,0.000723859
91,3354.11,0.97988,0.33997,0.00231,0.9699,0.99248,0.98325,0.75434,0.98267,0.27963,0.00227,0.000704073,0.000704073,0.000704073
92,3390.87,0.98367,0.33216,0.00228,0.97072,0.99423,0.98443,0.74752,1.00298,0.28253,0.00232,0.000684422,0.000684422,0.000684422
93,3427.61,0.97752,0.33367,0.0023,0.9708,0.99208,0.98355,0.77703,0.90503,0.25633,0.00208,0.000664914,0.000664914,0.000664914
94,3464.43,0.98171,0.34356,0.00232,0.97022,0.99423,0.98449,0.76353,0.93781,0.26541,0.00217,0.000645557,0.000645557,0.000645557
95,3501.22,0.98268,0.34343,0.00232,0.96595,0.99519,0.9845,0.76226,0.94695,0.26712,0.0022,0.00062636,0.00062636,0.00062636
96,3537.98,0.97327,0.34596,0.00231,0.96704,0.99519,0.98414,0.76576,0.93756,0.26695,0.00217,0.000607331,0.000607331,0.000607331
97,3574.73,0.98027,0.33279,0.00227,0.96781,0.99423,0.98394,0.76679,0.93952,0.26694,0.00219,0.000588479,0.000588479,0.000588479
98,3611.52,0.96651,0.33125,0.00227,0.96679,0.99519,0.98157,0.7583,0.95396,0.27405,0.00223,0.000569811,0.000569811,0.000569811
99,3648.27,0.97136,0.3427,0.00229,0.97097,0.99134,0.98358,0.74037,1.02229,0.28243,0.00245,0.000551337,0.000551337,0.000551337
100,3685.01,0.9653,0.341,0.00227,0.97086,0.99407,0.98436,0.77231,0.92486,0.25971,0.00216,0.000533064,0.000533064,0.000533064
101,3721.78,0.97837,0.34495,0.00228,0.96964,0.99615,0.98548,0.75758,0.97982,0.26952,0.00225,0.000515,0.000515,0.000515
102,3758.58,0.95215,0.3269,0.00223,0.97073,0.98937,0.98521,0.77704,0.90602,0.26039,0.00207,0.000497153,0.000497153,0.000497153
103,3795.34,0.95125,0.33084,0.00222,0.96743,0.99326,0.98619,0.76219,0.94588,0.26878,0.00222,0.000479531,0.000479531,0.000479531
104,3832.15,0.97004,0.33732,0.00232,0.96964,0.99519,0.98548,0.75589,0.96983,0.27151,0.00232,0.000462142,0.000462142,0.000462142
105,3868.9,0.95214,0.32846,0.00222,0.96901,0.99423,0.98621,0.76546,0.94086,0.26591,0.00219,0.000444994,0.000444994,0.000444994
106,3905.66,0.94216,0.32216,0.00219,0.96912,0.99326,0.98636,0.77051,0.93134,0.26238,0.00212,0.000428093,0.000428093,0.000428093
107,3942.42,0.94983,0.32439,0.00221,0.96766,0.99326,0.98602,0.76567,0.96499,0.26927,0.00225,0.000411447,0.000411447,0.000411447
108,3979.18,0.95823,0.33698,0.00222,0.96991,0.99291,0.98468,0.76949,0.92916,0.26222,0.00214,0.000395064,0.000395064,0.000395064
109,4015.94,0.93758,0.3258,0.00219,0.97265,0.99274,0.98612,0.77349,0.92827,0.26266,0.00214,0.00037895,0.00037895,0.00037895
110,4052.69,0.9406,0.32598,0.00221,0.96445,0.99519,0.98685,0.77064,0.9428,0.26783,0.00218,0.000363114,0.000363114,0.000363114
111,4089.5,0.94112,0.33052,0.00218,0.97263,0.99174,0.98431,0.76943,0.93321,0.2617,0.00217,0.000347561,0.000347561,0.000347561
112,4126.25,0.94889,0.31853,0.0022,0.96817,0.99529,0.98657,0.7741,0.92457,0.26169,0.00212,0.000332298,0.000332298,0.000332298
113,4163.01,0.93288,0.32087,0.00221,0.96995,0.99413,0.98597,0.78147,0.9021,0.25764,0.00207,0.000317333,0.000317333,0.000317333
114,4199.78,0.94133,0.334,0.0022,0.96735,0.99423,0.98553,0.77804,0.90767,0.25936,0.00208,0.000302672,0.000302672,0.000302672
115,4236.53,0.94596,0.32925,0.0022,0.96825,0.99519,0.98648,0.77101,0.93121,0.26295,0.00217,0.000288321,0.000288321,0.000288321
116,4273.35,0.93611,0.32052,0.00215,0.96816,0.99497,0.98669,0.77592,0.9175,0.26033,0.0021,0.000274287,0.000274287,0.000274287
117,4310.13,0.93282,0.31668,0.00218,0.9705,0.99519,0.98609,0.77187,0.93252,0.25907,0.00216,0.000260575,0.000260575,0.000260575
118,4346.87,0.94018,0.31877,0.00218,0.97086,0.9941,0.98639,0.7658,0.95208,0.26345,0.00223,0.000247192,0.000247192,0.000247192
119,4383.65,0.93544,0.31383,0.00217,0.97092,0.99603,0.98801,0.78159,0.90469,0.25222,0.00207,0.000234143,0.000234143,0.000234143
120,4420.41,0.93208,0.30979,0.00218,0.9681,0.99615,0.98606,0.76903,0.92807,0.26005,0.00214,0.000221435,0.000221435,0.000221435
121,4457.13,0.93565,0.3182,0.00216,0.97177,0.99396,0.98613,0.781,0.9009,0.25253,0.00206,0.000209073,0.000209073,0.000209073
122,4493.9,0.94956,0.32192,0.00219,0.97204,0.99326,0.98574,0.78095,0.90302,0.25402,0.00207,0.000197062,0.000197062,0.000197062
123,4530.72,0.92418,0.31777,0.00215,0.97076,0.9923,0.98752,0.77479,0.9224,0.26021,0.00211,0.000185408,0.000185408,0.000185408
124,4567.5,0.93323,0.32381,0.00218,0.97083,0.99615,0.98572,0.76829,0.93441,0.25906,0.00215,0.000174115,0.000174115,0.000174115
125,4604.28,0.93451,0.3166,0.00217,0.96996,0.9946,0.98508,0.77239,0.92381,0.25891,0.00212,0.000163189,0.000163189,0.000163189
126,4641.07,0.93117,0.31997,0.00215,0.97088,0.99519,0.98551,0.77232,0.91776,0.25863,0.0021,0.000152635,0.000152635,0.000152635
127,4677.82,0.92048,0.31388,0.00214,0.96838,0.99423,0.98532,0.7724,0.9202,0.26251,0.00211,0.000142456,0.000142456,0.000142456
128,4714.62,0.91717,0.30581,0.00212,0.96953,0.99519,0.98578,0.77667,0.91002,0.25775,0.00209,0.000132658,0.000132658,0.000132658
129,4751.41,0.91729,0.31057,0.00211,0.96688,0.99615,0.98657,0.77432,0.91795,0.25853,0.00211,0.000123245,0.000123245,0.000123245
130,4788.2,0.93282,0.31363,0.00218,0.97102,0.9923,0.98626,0.77627,0.90882,0.25714,0.00208,0.000114221,0.000114221,0.000114221
131,4825.01,0.8001,0.22317,0.00204,0.96914,0.99615,0.98593,0.77908,0.90043,0.25333,0.00206,0.00010559,0.00010559,0.00010559
132,4861.49,0.79838,0.22066,0.00203,0.97093,0.99646,0.9855,0.781,0.89904,0.25363,0.00205,9.73555e-05,9.73555e-05,9.73555e-05
133,4897.95,0.78679,0.21342,0.00203,0.97094,0.99706,0.98543,0.78123,0.89563,0.25264,0.00205,8.95213e-05,8.95213e-05,8.95213e-05
